meta-llama/Meta-Llama-3-8B	unsloth/llama-3-8b-bnb-4bit
meta-llama/Meta-Llama-3-8B	openchat/openchat-3.6-8b-20240522
meta-llama/Meta-Llama-3-8B	Groq/Llama-3-Groq-8B-Tool-Use
meta-llama/Meta-Llama-3-8B	DeepMount00/Llama-3-8b-Ita
meta-llama/Meta-Llama-3-8B	dphn/dolphin-2.9-llama3-8b
meta-llama/Meta-Llama-3-8B	QuantFactory/Meta-Llama-3-8B-GGUF
meta-llama/Meta-Llama-3-8B	dphn/dolphin-2.9.1-llama-3-8b
meta-llama/Meta-Llama-3-8B	winninghealth/WiNGPT2-Llama-3-8B-Chat
meta-llama/Meta-Llama-3-8B	dfurman/Llama-3-8B-Orpo-v0.1
meta-llama/Meta-Llama-3-8B	jondurbin/bagel-8b-v1.0
meta-llama/Meta-Llama-3-8B	Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.3
meta-llama/Meta-Llama-3-8B	jondurbin/airoboros-70b-3.3
meta-llama/Meta-Llama-3-8B	Weyaxi/Einstein-v6.1-Llama3-8B
meta-llama/Meta-Llama-3-8B	jondurbin/airoboros-dpo-70b-3.3
meta-llama/Meta-Llama-3-8B	winninghealth/WiNGPT2-Llama-3-8B-Base
meta-llama/Meta-Llama-3-8B	aaditya/Llama3-OpenBioLLM-8B
meta-llama/Meta-Llama-3-8B	dphn/dolphin-2.9-llama3-8b-gguf
meta-llama/Meta-Llama-3-8B	solidrust/Meta-Llama-3-8B-AWQ
meta-llama/Meta-Llama-3-8B	MLP-KTLim/llama-3-Korean-Bllossom-8B
meta-llama/Meta-Llama-3-8B	allenai/llama-3-tulu-2-8b
meta-llama/Meta-Llama-3-8B	hallisky/lora-type-narrative-llama-3-8b
meta-llama/Meta-Llama-3-8B	anakin87/Llama-3-8b-ita-ties
meta-llama/Meta-Llama-3-8B	solidrust/dolphin-2.9-llama3-8b-AWQ
meta-llama/Meta-Llama-3-8B	QuantFactory/Turkish-Llama-8b-DPO-v0.1-GGUF
meta-llama/Meta-Llama-3-8B	matrixportalx/Turkish-Llama3-8B-Merged-GGUF
meta-llama/Meta-Llama-3-8B	bartowski/dolphin-2.9.1-llama-3-8b-GGUF
meta-llama/Meta-Llama-3-8B	second-state/FinGPT-MT-Llama-3-8B-LoRA-GGUF
meta-llama/Meta-Llama-3-8B	bartowski/dolphin-2.9-llama3-8b-old-GGUF
meta-llama/Meta-Llama-3-8B	facebook/layerskip-llama3-8B
meta-llama/Meta-Llama-3-8B	ytu-ce-cosmos/Turkish-Llama-8b-Instruct-v0.1
meta-llama/Meta-Llama-3-8B	bartowski/llama-3-neural-chat-v1-8b-GGUF
meta-llama/Meta-Llama-3-8B	bartowski/JSL-MedLlama-3-8B-v2.0-GGUF
meta-llama/Meta-Llama-3-8B	bartowski/OpenBioLLM-Llama3-8B-GGUF
meta-llama/Meta-Llama-3-8B	johnsnowlabs/JSL-MedLlama-3-8B-v2.0
meta-llama/Meta-Llama-3-8B	bartowski/dolphin-2.9-llama3-8b-1m-GGUF
meta-llama/Meta-Llama-3-8B	bartowski/openchat-3.6-8b-20240522-GGUF
meta-llama/Meta-Llama-3-8B	Locutusque/llama-3-neural-chat-v1-8b
meta-llama/Meta-Llama-3-8B	bartowski/airoboros-dpo-70b-3.3-GGUF
meta-llama/Meta-Llama-3-8B	bartowski/Einstein-v6.1-Llama3-8B-GGUF
meta-llama/Meta-Llama-3-8B	LiteLLMs/dolphin-2.9-llama3-8b-GGUF
meta-llama/Meta-Llama-3-8B	mmansoor9209/Llama-3-8B-JejuNUNLP-GGUF
